"464/0267","HINTERKIND #4 ",,"1.99",,,,"DC VERTIGO"
"464/0268","100 BULLETS BROTHER LONO #8 (OF 8) ",,"1.99",,,,"DC VERTIGO"
"464/0269","SPACEMAN TP  ","our price","10.87","reduced from","£14.99",,"DC VERTIGO"
"464/0270","WE3 TP NEW ED  ","our price","7.97","reduced from","£10.99",,"DC VERTIGO"
"464/0271","FABLES #137 ",,"1.99",,,,"DC VERTIGO"
"464/0272","FAIREST #23 ",,"1.99",,,,"DC VERTIGO"
"464/0273","FBP FEDERAL BUREAU OF PHYSICS #7 ",,"1.99",,,,"DC VERTIGO"
"464/0274","FBP FEDERAL BUREAU OF PHYSICS TP VOL 01  ","our price","5.44","reduced from","£7.50",,"DC VERTIGO"
"464/0275","GOD SOMEWHERE TP NEW ED   ","our price","9.79","reduced from","£13.50",,"DC VERTIGO"
"464/0276","STRANGE ADVENTURES TP  ","our price","7.97","reduced from","£10.99",,"DC VERTIGO"
"464/0277","UNKNOWN SOLDER TP NEW ED  ","our price","7.97","reduced from","£10.99",,"DC VERTIGO"
"464/0278","TRILLIUM #6 (OF 8) ",,"1.99",,,,"DC VERTIGO"
"464/0279","ENEMY ACE WAR IN HEAVEN TP  ",,"8.99",,,,"DC VERTIGO"
"464/0280","VIMANARAMA TP   ",,"8.25",,,,"DC VERTIGO"
"464/0281","UNWRITTEN TP VOL 01 TOMMY TAYLOR   ",,"8.99",,,,"DC VERTIGO"
"464/0282","SPY VS SPY BY PROHIAS OMNIBUS HC  ",,"28.99",,,,"DC COMICS"
